id,updated,output_folder
https://domo-support.domo.com/s/article/360044258533,2023-04-30 19:42:34.271374,../../raw_kb_v2\article\360044258533
https://domo-support.domo.com/s/article/4402058407191,2023-04-30 19:42:37.942034,../../raw_kb_v2\article\4402058407191
https://domo-support.domo.com/s/article/360046074774,2023-04-30 19:42:41.450137,../../raw_kb_v2\article\360046074774
https://domo-support.domo.com/s/article/4410213098903,2023-04-30 19:42:44.749140,../../raw_kb_v2\article\4410213098903
https://domo-support.domo.com/s/article/360042922994,2023-04-30 19:42:47.932325,../../raw_kb_v2\article\360042922994
https://domo-support.domo.com/s/article/360063698733,2023-04-30 19:42:51.050839,../../raw_kb_v2\article\360063698733
https://domo-support.domo.com/s/article/360042922954,2023-04-30 19:42:54.265220,../../raw_kb_v2\article\360042922954
https://domo-support.domo.com/s/article/360043427793,2023-04-30 19:42:57.344633,../../raw_kb_v2\article\360043427793
https://domo-support.domo.com/s/article/360042923014,2023-04-30 19:43:00.407023,../../raw_kb_v2\article\360042923014
https://domo-support.domo.com/s/article/360042922974,2023-04-30 19:43:03.472462,../../raw_kb_v2\article\360042922974
https://domo-support.domo.com/s/article/360042923174,2023-04-30 19:43:06.693537,../../raw_kb_v2\article\360042923174
https://domo-support.domo.com/s/article/360042923154,2023-04-30 19:43:09.903598,../../raw_kb_v2\article\360042923154
https://domo-support.domo.com/s/article/360042923134,2023-04-30 19:43:12.957121,../../raw_kb_v2\article\360042923134
https://domo-support.domo.com/s/article/4404652354583,2023-04-30 19:43:16.025198,../../raw_kb_v2\article\4404652354583
https://domo-support.domo.com/s/article/360043427833,2023-04-30 19:43:19.000423,../../raw_kb_v2\article\360043427833
https://domo-support.domo.com/s/article/360042923034,2023-04-30 19:43:21.982581,../../raw_kb_v2\article\360042923034
https://domo-support.domo.com/s/article/360043427873,2023-04-30 19:43:25.505673,../../raw_kb_v2\article\360043427873
https://domo-support.domo.com/s/article/360043427893,2023-04-30 19:43:28.578802,../../raw_kb_v2\article\360043427893
https://domo-support.domo.com/s/article/360042923194,2023-04-30 19:43:31.724247,../../raw_kb_v2\article\360042923194
https://domo-support.domo.com/s/article/360043427913,2023-04-30 19:43:34.793498,../../raw_kb_v2\article\360043427913
https://domo-support.domo.com/s/article/360042923054,2023-04-30 19:43:37.910549,../../raw_kb_v2\article\360042923054
https://domo-support.domo.com/s/article/360042923074,2023-04-30 19:43:41.020651,../../raw_kb_v2\article\360042923074
https://domo-support.domo.com/s/article/360042923734,2023-04-30 19:43:44.107174,../../raw_kb_v2\article\360042923734
https://domo-support.domo.com/s/article/360042936554,2023-04-30 19:43:47.130609,../../raw_kb_v2\article\360042936554
https://domo-support.domo.com/s/article/360042923754,2023-04-30 19:43:50.277253,../../raw_kb_v2\article\360042923754
https://domo-support.domo.com/s/article/360043427933,2023-04-30 19:43:53.364099,../../raw_kb_v2\article\360043427933
https://domo-support.domo.com/s/article/360042923214,2023-04-30 19:43:56.417302,../../raw_kb_v2\article\360042923214
https://domo-support.domo.com/s/article/360042923374,2023-04-30 19:44:02.151153,../../raw_kb_v2\article\360042923374
https://domo-support.domo.com/s/article/360043428073,2023-04-30 19:44:05.109351,../../raw_kb_v2\article\360043428073
https://domo-support.domo.com/s/article/360042923394,2023-04-30 19:44:08.181275,../../raw_kb_v2\article\360042923394
https://domo-support.domo.com/s/article/360043428093,2023-04-30 19:44:11.746596,../../raw_kb_v2\article\360043428093
https://domo-support.domo.com/s/article/360042923414,2023-04-30 19:44:14.810210,../../raw_kb_v2\article\360042923414
https://domo-support.domo.com/s/article/360043428113,2023-04-30 19:44:17.924367,../../raw_kb_v2\article\360043428113
https://domo-support.domo.com/s/article/360043428133,2023-04-30 19:44:20.719748,../../raw_kb_v2\article\360043428133
https://domo-support.domo.com/s/article/360042923094,2023-04-30 19:44:23.557373,../../raw_kb_v2\article\360042923094
https://domo-support.domo.com/s/article/360042923114,2023-04-30 19:44:26.611136,../../raw_kb_v2\article\360042923114
https://domo-support.domo.com/s/article/360042923234,2023-04-30 19:44:29.328619,../../raw_kb_v2\article\360042923234
https://domo-support.domo.com/s/article/360043427953,2023-04-30 19:44:32.383567,../../raw_kb_v2\article\360043427953
https://domo-support.domo.com/s/article/360043428153,2023-04-30 19:44:35.389785,../../raw_kb_v2\article\360043428153
https://domo-support.domo.com/s/article/360043428173,2023-04-30 19:44:38.452822,../../raw_kb_v2\article\360043428173
https://domo-support.domo.com/s/article/360042923454,2023-04-30 19:44:40.976773,../../raw_kb_v2\article\360042923454
https://domo-support.domo.com/s/article/4405318926231,2023-04-30 19:44:43.513408,../../raw_kb_v2\article\4405318926231
https://domo-support.domo.com/s/article/360042923474,2023-04-30 19:44:46.158412,../../raw_kb_v2\article\360042923474
https://domo-support.domo.com/s/article/360042923514,2023-04-30 19:45:07.639455,../../raw_kb_v2\article\360042923514
https://domo-support.domo.com/s/article/360042923534,2023-04-30 19:45:13.452323,../../raw_kb_v2\article\360042923534
https://domo-support.domo.com/s/article/360042923634,2023-04-30 19:45:18.833735,../../raw_kb_v2\article\360042923634
https://domo-support.domo.com/s/article/360042923714,2023-04-30 19:45:22.312953,../../raw_kb_v2\article\360042923714
https://domo-support.domo.com/s/article/360043428293,2023-04-30 19:45:25.301070,../../raw_kb_v2\article\360043428293
https://domo-support.domo.com/s/article/360043428333,2023-04-30 19:45:28.315248,../../raw_kb_v2\article\360043428333
https://domo-support.domo.com/s/article/360043428313,2023-04-30 19:45:30.746520,../../raw_kb_v2\article\360043428313
https://domo-support.domo.com/s/article/360043428393,2023-04-30 19:45:33.215741,../../raw_kb_v2\article\360043428393
https://domo-support.domo.com/s/article/4403489663127,2023-04-30 19:45:36.374045,../../raw_kb_v2\article\4403489663127
https://domo-support.domo.com/s/article/360042923794,2023-04-30 19:45:39.981974,../../raw_kb_v2\article\360042923794
https://domo-support.domo.com/s/article/360042923594,2023-04-30 19:45:42.789317,../../raw_kb_v2\article\360042923594
https://domo-support.domo.com/s/article/360042923314,2023-04-30 19:45:45.261909,../../raw_kb_v2\article\360042923314
https://domo-support.domo.com/s/article/360043428433,2023-04-30 19:45:48.432255,../../raw_kb_v2\article\360043428433
https://domo-support.domo.com/s/article/360043428593,2023-04-30 19:45:51.559755,../../raw_kb_v2\article\360043428593
https://domo-support.domo.com/s/article/4530782510871,2023-04-30 19:45:54.132015,../../raw_kb_v2\article\4530782510871
https://domo-support.domo.com/s/article/360042923274,2023-04-30 19:45:56.770077,../../raw_kb_v2\article\360042923274
